disease,cohort,model,residualized,n_rows,n_lines,n_drugs,n_pcs,spearman,spearman_lo,spearman_hi,pearson,rmse,r2,rank_k,rank_n_lines_scored,rank_topk_hit_rate@3,rank_kendall_tau,rank_spearman_per_line,rank_ndcg@3,n_features,perm_mean,perm_sd,perm_p,perm_z,n_perm
STAD,both,drugmean,False,14966,32,662,31,-0.005864637034720528,-0.02489362063909325,0.013164346569652194,0.014278087180823648,1.0252718695012286,-0.054759858991025555,3.0,32.0,0.020833333333333332,0.017019431666129386,0.024959615270653965,0.44027778606894125,,,,,,
STAD,both,enet_resid,True,14966,32,662,31,-0.004001991693580422,-0.07236040643794855,0.0643564230507877,-0.01142845830521946,1.033123947741037,-0.01543743154795434,,,,,,,,,,,,
STAD,both,enet_expr,False,14966,32,662,31,-0.09664697959086942,-0.15817838614740817,-0.03511557303433066,-0.08268152274050827,1.0103599217757304,-0.024323372919404986,,,,,,,,,,,,
STAD,both,enet_pathwaypcs,True,14966,32,662,31,-0.022119238196495826,-0.10104401808987662,0.05680554169688496,-0.0016143193702118752,1.0295203097386294,-0.00836666506841166,,,,,,,31.0,,,,,
STAD,both,enet_pathway,True,14966,32,662,31,-0.07563022675635156,-0.12880665486074416,-0.02245379865195897,-0.09182036622359645,1.0376000309173452,-0.024218567402595915,,,,,,,1809.0,0.0004,0.0099,1.0,-7.683,100.0
STAD,both,enet_pcs_pathway,True,14966,32,662,31,-0.07466762831749468,-0.12620799713356584,-0.023127259501423525,-0.09537472267944025,1.0404427192751438,-0.029845262062794652,,,,,,,1840.0,-0.0002,0.0099,1.0,-7.542,100.0
UCEC,both,mean,False,12736,27,660,26,-0.09784624860161886,-0.11755446489541568,-0.07813803230782204,-0.10455878781347616,0.8810949213387463,-0.006479954423456125,,,,,,,,,,,,
UCEC,both,drugmean,False,12736,27,660,26,0.13567225593857019,0.12741269267386152,0.14393181920327885,0.11184462097029538,0.8914562927317942,-0.030297494340643327,3.0,27.0,0.0,0.11059145221792556,0.16169083929059913,0.4609667867187022,,,,,,
UCEC,both,enet_resid,True,12736,27,660,26,-0.028495290146118853,-0.09602791525033466,0.03903733495809696,0.007423386015906008,0.8958150511312988,-0.00983311973635681,,,,,,,,,,,,
UCEC,both,enet_expr,False,12736,27,660,26,-0.060519104122383094,-0.12826174951157587,0.007223541266809672,-0.034387317973895735,0.8879820799856324,-0.022314856356873226,,,,,,,,,,,,
UCEC,both,enet_pathwaypcs,True,12736,27,660,26,-0.018606566588614315,-0.08752959699752814,0.050316463820299515,-0.020541576036563165,0.8938730263352858,-0.0054488754728656994,,,,,,,26.0,,,,,
UCEC,both,enet_pathway,True,12736,27,660,26,-0.011134877084347194,-0.08479805090743976,0.06252829673874537,-0.01617452993511389,0.894506386097409,-0.006882700231275529,,,,,,,1809.0,0.0016,0.0111,0.8911,-1.143,100.0
UCEC,both,enet_pcs_pathway,True,12736,27,660,26,-0.020973810373166108,-0.09821337031238064,0.056265749566048434,-0.014899462425832271,0.8954928886248723,-0.009112938913048697,,,,,,,1835.0,0.0017,0.0106,0.9901,-2.137,100.0
