disease,cohort,model,residualized,n_rows,n_lines,n_drugs,n_pcs,spearman,spearman_lo,spearman_hi,pearson,rmse,r2,rank_k,rank_n_lines_scored,rank_topk_hit_rate@3,rank_kendall_tau,rank_spearman_per_line,rank_ndcg@3,perm_mean,perm_sd,perm_p,perm_z,n_perm
pancancer,gdsc,mean,False,147763,605,285,50,-0.02279691890436412,-0.031421620183858995,-0.014172217624869246,-0.026258962213587846,0.9888457456473209,-0.00043586355324798376,,,,,,,,,,,
pancancer,gdsc,drugmean,False,147763,605,285,50,0.0041675257326569005,-0.0011432599383392437,0.009478311403653045,0.0010536314025212194,0.9898402852037247,-0.002449346032611244,3.0,605.0,0.017079889807162532,0.005122083817158745,0.007234696233282794,0.33983750201858587,,,,,
pancancer,gdsc,enet_resid,True,147763,605,285,50,0.10180565185620197,0.09758014348383448,0.10603116022856945,0.153597301476622,0.9781587558990485,0.023462802134402373,,,,,,,,,,,
pancancer,gdsc,enet_expr,False,147763,605,285,50,0.10154279672536833,0.09731154827779055,0.1057740451729461,0.152278323228602,0.9771516422543801,0.023086132473667687,,,,,,,,,,,
pancancer,gdsc,enet_resid_disease,True,147763,605,285,50,0.021593081596137483,0.009826993038953057,0.03335917015332191,0.0171065167855395,0.9390392133193821,7.875312214578045e-06,,,,,,,0.004,0.0116,0.0792,1.515,100.0
pancancer,gdsc,disease_drugmean,True,147763,605,285,50,0.3009130028080417,0.29753442020389187,0.3042915854121915,0.34208683541186063,0.9390510952892444,0.09998319210091897,,,,,,,,,,,
pancancer,ctrp,mean,False,236708,609,479,50,-0.030831975814356073,-0.045941315620608686,-0.015722636008103457,-0.030154101112193833,0.9895688906226219,-0.0006741222492145926,,,,,,,,,,,
pancancer,ctrp,drugmean,False,236708,609,479,50,-0.05744654214520319,-0.06721314914639506,-0.04767993514401132,-0.06021931804714453,0.991376692506354,-0.0043337108709531336,3.0,609.0,0.008210180623973728,-0.03736137008101226,-0.055905933606391664,0.4661669424639721,,,,,
pancancer,ctrp,enet_resid,True,236708,609,479,50,0.0961698583970341,0.09054370266675864,0.10179601412730956,0.1081800853771949,0.985749440837214,0.011318072831546955,,,,,,,,,,,
pancancer,ctrp,enet_expr,False,236708,609,479,50,0.09336109510489618,0.08895408624997372,0.09776810395981864,0.10562592531255119,0.983926108741834,0.01070380230711936,,,,,,,,,,,
pancancer,ctrp,enet_resid_disease,True,236708,609,479,50,0.025129545179604945,0.017185046015086296,0.033074044344123595,0.024117712052087948,0.9941742300157286,0.00022615035343551693,,,,,,,-0.0098,0.0166,0.0693,2.101,100.0
pancancer,ctrp,disease_drugmean,True,236708,609,479,50,0.1597227234998288,0.1554070659942538,0.1640383810054038,0.16218096730079182,0.9942939982114833,-0.0058955811107494595,,,,,,,,,,,
pancancer,both,mean,False,385867,798,678,50,-0.025780180199375845,-0.03387860223503014,-0.017681758163721552,-0.027643185995706792,0.9907272360009202,-0.00045378666560704775,,,,,,,,,,,
pancancer,both,drugmean,False,385867,798,678,50,-0.03233804621840449,-0.036183386889324154,-0.028492705547484832,-0.03112977899981607,0.9922508335952829,-0.0035332791534627094,3.0,798.0,0.007518796992481203,-0.025411687072823003,-0.03738257122334478,0.40721834575699645,,,,,
pancancer,both,enet_resid,True,385867,798,678,50,0.08740561077207956,0.08445886953451705,0.09035235200964208,0.12385903637512283,0.9846326211522282,0.015296417821285569,,,,,,,,,,,
pancancer,both,enet_expr,False,385867,798,678,50,0.0856644819308434,0.08167144270428853,0.08965752115739828,0.12173720160327954,0.983156998850338,0.014776795196291981,,,,,,,,,,,
pancancer,both,enet_resid_disease,True,385867,798,678,50,0.05014726222118462,0.04370848303569323,0.056586041406676,0.051714218654201824,0.9730987767028945,0.002499175364558148,,,,,,,0.0144,0.0104,0.0099,3.43,100.0
pancancer,both,disease_drugmean,True,385867,798,678,50,0.21412718661840832,0.21269456883597565,0.215559804400841,0.24149690039803473,0.9743190404725081,0.03581594176449836,,,,,,,,,,,
