ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,core_enrichment
REACTOME_UBIQUITIN_MEDIATED_DEGRADATION_OF_PHOSPHORYLATED_CDC25A,REACTOME_UBIQUITIN_MEDIATED_DEGRADATION_OF_PHOSPHORYLATED_CDC25A,50,0.433800388611706,1.6720683950024,0.00522023433427449,0.03415848988297,PSMC2/CHEK2/RBX1/PSMB1/CUL1/BTRC/PSMB7/CSNK1E/CDC25A/PSMC3/UBB/PSMD8/PSMD11/PSMA4/PSMB2/PSMC6/PSMC1/PSMA2/PSMA6/CHEK1/NEK11/PSMC5/PSMC4/PSMA7
REACTOME_CIRCADIAN_CLOCK,REACTOME_CIRCADIAN_CLOCK,106,0.383495655769231,1.67085747702805,0.00133304690859261,0.0115195562095306,RXRA/PSMC2/NCOA1/RBX1/CREBBP/NCOA6/PSMB1/CRTC1/CUL1/BTRC/PSMB7/CSNK1E/PER2/KLF15/CRTC3/PSMC3/SMARCD3/RBM4/CRY2/SIRT1/UBB/TGS1/PSMD8/EP300/CARM1/PSMD11/DBP/PSMA4/CRY1/FBXL3/PSMB2/PSMC6/PSMC1/NCOA2/CREB1/PER1/PSMA2/KMT2A/PSMA6/CSNK2A1/MEF2C/PPARA/SIK1/PSMC5/PSMC4/PSMA7/PER3/PPARGC1A
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,113,0.378221971024684,1.6695754036006,0.000989729312575952,0.00898216652518678,PSMC2/RANBP1/NUP85/NUP188/POM121/NUP62/RBX1/NUP107/NUP214/POM121C/PSMB1/NUP35/NUP153/BTRC/CD247/NUP205/PSMB7/CCNT1/NUP160/PSMC3/RANBP2/CUL5/UBB/PSMD8/SEH1L/NUP133/XPO1/PSMD11/NUP50/PSMA4/PSMB2/PSMC6/PSMC1/RAE1/TPR/NUP155/AP2A1/PSMA2/HCK/PSMA6/NUP43/AAAS/KPNB1/NDC1/NUP54/PSMC5/PSMC4/PPIA/PSMA7
REACTOME_SIGNALING_BY_WNT,REACTOME_SIGNALING_BY_WNT,256,0.344673374408314,1.6678508130891,3.19148226143537e-05,0.000488459064758668,FZD1/PLCB2/CXXC4/PSMC2/CSNK1G2/TCF7L1/VANGL2/WDR5/KREMEN1/NFATC1/TNKS/RBX1/PYGO2/SOX6/TNRC6C/CREBBP/AKT2/SOX2/WLS/TRRAP/FZD3/RBBP5/BCL9/KLHL12/RNF43/PSMB1/DVL3/SMARCA4/SCRIB/FZD4/PYGO1/ASH2L/CUL1/PPP2R1A/BTRC/DKK2/ZNRF3/PSMB7/CSNK1E/WNT6/WNT9A/CTNNBIP1/PSMC3/TLE4/WNT10B/LGR5/CUL3/SFRP2/MOV10/PPP2R5D/WNT1/UBB/GNGT2/GNG5/PSMD8/RSPO2/RUNX3/AMER1/EP300/CHD8/AGO2/XPO1/TCF4/PRKG2/PSMD11/AGO4/WNT5A/PPP3CB/KAT5/PSMA4/GNB2/SMURF1/LRP5/FZD2/PSMB2/PSMC6/AXIN2/CAMK2A/PSMC1/DACT1/ROR1/AP2A1/PRKCA/WNT9B/CLTC/PSMA2/MAP3K7/PSMA6/PPP3R1/FZD8/LRP6/WIF1/PDE6A/CSNK2A1/WNT11/FZD5/PPP2R1B/PRKCG/WNT3A/PSMC5/PSMC4/CTBP1/MYC/KRAS/PSMA7/DPY30/PDE6B/LEF1/CAV1/HDAC1/FZD7
REACTOME_GSK3B_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274,REACTOME_GSK3B_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274,43,0.446317275081544,1.66742606778773,0.00763585730549682,0.0453630207030502,PSMC2/RBX1/PSMB1/CUL1/BTRC/PSMB7/PSMC3/UBB/PSMD8/PSMD11/PSMA4/PSMB2/PSMC6/PSMC1/PSMA2/PSMA6/COPS5/PSMC5/PSMC4/PSMA7
REACTOME_NCAM1_INTERACTIONS,REACTOME_NCAM1_INTERACTIONS,42,0.448297213979028,1.66694960583038,0.0105353892045081,0.0580088808028706,COL9A1/CACNA1I/CACNA1G/COL6A6/COL2A1/CACNA1H/NRTN/NCAM1/ST8SIA2/GFRA2/GFRA1/CACNB2/CNTN2/COL5A1/COL3A1/COL9A3/COL4A1/PSPN/ST8SIA4/COL4A2/CACNA1C/COL9A2/CACNA1D/CACNB4/AGRN
REACTOME_UBIQUITIN_DEPENDENT_DEGRADATION_OF_CYCLIN_D,REACTOME_UBIQUITIN_DEPENDENT_DEGRADATION_OF_CYCLIN_D,38,0.461784108392437,1.66688130588378,0.00550375091012826,0.0354991933703273,CDK4/PSMC2/PSMB1/PSMB7/PSMC3/UBB/PSMD8/PSMD11/PSMA4/PSMB2/PSMC6/PSMC1/PSMA2/PSMA6/PSMC5/PSMC4/PSMA7/CCND1/PSMD3
REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME,REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME,66,0.411858123764833,1.66544982208672,0.00303945519356789,0.0223140491039984,POLR2J/NCBP1/SSRP1/TAF5/TAF4/POLR2E/RNGTT/TAF6/GTF2B/POLR2F/POLR2D/CCNT1/CCNK/GTF2H5/NELFB/CCNT2/POLR2I/NELFA/CTDP1/TAF9B/TBP/SUPT16H/MNAT1/TAF2/SUPT4H1/POLR2G/POLR2B
REACTOME_G2_PHASE,REACTOME_G2_PHASE,5,0.811648269766457,1.66247967736925,0.016126247662569,0.0802314139906327,E2F1/E2F3/CDK2/CCNA1
REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS,REACTOME_SUMOYLATION_OF_TRANSCRIPTION_FACTORS,20,0.537701803511576,1.660045564879,0.0104897934801486,0.0579917801935779,UBE2I/PIAS2/SP3/CDKN2A/SUMO2/PIAS4/TFAP2B/MDM2/MITF
