disease,drug_name,n_lines,spearman,spearman_lo,perm_mean,perm_sd,perm_p
GBM,Picolinici-acid,21,0.3449350649350649,0.0506111662190892,-0.1078,0.2624,0.0693
GBM,GSK2606414,21,-0.0618181818181818,-0.1211365579934119,-0.1157,0.2852,0.396
GBM,CAY10618,32,0.5485337243401759,0.4883490096870181,-0.0842,0.247,0.0099
GBM,necrostatin-7,31,0.4432301665835751,0.3887694431945717,-0.078,0.2379,0.0297
GBM,tivozanib,30,0.2977085650723025,0.1911135483418641,-0.0613,0.2176,0.0495
GBM,BYL-719,27,-0.0957264957264957,-0.1956330720003321,-0.0254,0.2295,0.6634
GBM,PD0325901,21,0.2922077922077922,0.2155477613535164,-0.0855,0.2853,0.1089
GBM,AZ960,21,0.4116883116883117,0.2923176202122585,-0.0547,0.2989,0.0792
GBM,AGK-2,33,0.211096256684492,0.1475343666751232,-0.0533,0.2172,0.1287
GBM,neuronal differentiation inducer III,32,0.5181818181818181,0.48493838725459,-0.105,0.2306,0.0099
GBM,AM-580,30,-0.2734149054505005,-0.3971227782119995,-0.1,0.2564,0.7228
GBM,PI-103,30,0.0048498331479421,-0.1279449722535604,-0.0695,0.2235,0.4158
GBM,GSK591,21,-0.3464935064935065,-0.4720295854008789,-0.0377,0.2857,0.8614
GBM,isoevodiamine,29,0.1490640394088669,0.0498129996451768,-0.0219,0.2378,0.2673
GBM,PRT062607,21,0.1202597402597402,-0.0096597211241532,-0.0471,0.2869,0.297
GBM,"1S,3R-RSL-3",32,0.3294721407624633,0.282203578869396,-0.0872,0.2183,0.0594
GBM,necrostatin-1,30,-0.0856507230255839,-0.2321713380992339,-0.0321,0.2369,0.5149
GBM,PFI-1,21,0.0062337662337662,-0.1323226924082074,-0.0784,0.2848,0.3069
GBM,SR-II-138A,32,0.245674486803519,0.1936083872711627,-0.1136,0.2015,0.0495
GBM,MG-132,24,-0.3034782608695652,-0.3413401090325088,-0.0841,0.2742,0.7822
GBM,ML258,31,-0.032727339511015,-0.128172689371434,-0.0395,0.2383,0.495
GBM,topotecan,32,0.5633431085043987,0.4742720755782664,-0.0373,0.2301,0.0297
GBM,MGCD-265,31,-0.1374193548387096,-0.2857743765649188,-0.0655,0.2305,0.6832
GBM,LCL161,21,0.0259740259740259,-0.0768100291292393,-0.1201,0.2216,0.2574
GBM,cytarabine hydrochloride,33,0.2052807486631016,0.1595054982291698,-0.0602,0.2415,0.1683
GBM,vandetanib,31,0.0779032258064516,-0.0059247818635816,-0.0997,0.2381,0.2673
GBM,Lestaurtinib,20,0.072781954887218,-0.1360981095747594,-0.1029,0.2969,0.297
GBM,TG-100-115,31,0.0075,-0.1471660684556559,-0.0746,0.2245,0.3366
GBM,MK-2206,32,0.2376832844574779,0.2004800096673291,-0.0204,0.2435,0.1386
GBM,GSK343,21,-0.0015584415584415,-0.0910607643502214,-0.1229,0.292,0.3465
GBM,afatinib,32,0.2793988269794721,0.1527203631065284,-0.0693,0.2475,0.1089
GBM,ML162,32,0.2183284457478005,0.1405598329383162,-0.1016,0.2153,0.0891
GBM,dexamethasone,29,-0.3217265084485904,-0.4615541851098788,-0.0492,0.239,0.7921
GBM,CID-5951923,31,0.079758064516129,-0.0649237326629341,-0.0669,0.2411,0.2673
GBM,fumonisin B1,31,-0.3098689771358249,-0.3970392365841634,-0.0778,0.2188,0.8812
GBM,Irinotecan,21,0.1431168831168831,-0.090519794633171,-0.1023,0.291,0.2079
GBM,tandutinib,29,-0.1194088669950738,-0.2413054091596347,-0.0682,0.2209,0.6337
GBM,PDMP,30,0.0652725250278086,-0.0361029499675195,-0.0806,0.2486,0.2772
GBM,piperlongumine,29,-0.0278817733990147,-0.1789223111456944,-0.0627,0.2559,0.4455
GBM,curcumin,32,-0.006158357771261,-0.1336492036449864,-0.0842,0.2273,0.3762
GBM,phloretin,30,-0.018642936596218,-0.0904562829631078,-0.0667,0.2388,0.4356
GBM,Pyridostatin,21,-0.0727272727272727,-0.2204272590184474,-0.0613,0.2661,0.4752
GBM,Leflunomide,21,-0.2519480519480519,-0.3412351087502374,-0.1162,0.2839,0.6931
GBM,itraconazole,30,-0.5031037966386044,-0.6342084665967633,-0.0243,0.2229,0.9802
GBM,ML210,31,0.0013709677419354,-0.085427034987595,-0.0281,0.2671,0.4752
GBM,etoposide,32,-0.0495601173020527,-0.1375225366723277,-0.0624,0.2721,0.5149
GBM,AZD4547,33,0.2601604278074866,0.1932566907698768,-0.0494,0.2376,0.1188
GBM,Camptothecin,21,0.4955844155844156,0.4375022964599943,-0.102,0.2886,0.0297
GBM,BRD-K50799972,32,0.0226560352889945,-0.0682415643637367,-0.0244,0.2082,0.4257
GBM,ML323,21,0.2519480519480519,0.0964730718982458,-0.0849,0.2748,0.1386
GBM,I-BET151,31,-0.2368548387096774,-0.2685964998840757,-0.0411,0.2094,0.8119
GBM,fulvestrant,25,0.2986153846153846,0.2509537037296661,-0.1178,0.3062,0.1287
GBM,austocystin D,28,0.0136836343732895,-0.0667131736866761,-0.0855,0.2385,0.3069
GBM,BRD-K09587429,25,-0.1234852879161125,-0.2436628232446099,-0.0716,0.2674,0.5842
GBM,erismodegib,31,-0.0268691618500281,-0.1631701776429166,-0.0573,0.2247,0.4257
GBM,vorinostat,31,-0.1276612903225806,-0.2089503380276374,-0.0983,0.2151,0.5248
GBM,CI-976,30,-0.0902436316631071,-0.1412497019472676,-0.047,0.248,0.5743
GBM,BRD-K26531177,27,-0.2076923076923076,-0.3060076015055761,-0.0825,0.2372,0.703
GBM,GSK2578215A,21,0.0459740259740259,-0.0726632725245546,-0.0989,0.2643,0.3267
GBM,AZ6102,21,-0.5511688311688312,-0.6592550777232142,-0.1125,0.2779,0.9307
GBM,brivanib,31,0.3421774193548387,0.2100040070673714,-0.0385,0.2452,0.099
GBM,clofarabine,32,0.4606304985337243,0.3747077884572898,-0.0755,0.2469,0.0297
GBM,BMS-195614,30,0.345761957730812,0.246769304600956,-0.082,0.2257,0.0198
GBM,N9-isopropylolomoucine,28,0.1126436781609195,0.0321721796542962,-0.1077,0.2668,0.2178
GBM,prochlorperazine,32,-0.0424486803519061,-0.1640823724900877,-0.0718,0.253,0.4653
GBM,sunitinib,31,0.2651612903225807,0.1719713657902621,-0.0752,0.256,0.0891
GBM,BRD-K34222889,31,0.3600806451612903,0.2475555274889234,-0.0719,0.2231,0.0396
GBM,masitinib,29,0.0564108884682848,-0.0276503607338233,-0.0607,0.2564,0.3465
GBM,AZD5582,20,-0.076390977443609,-0.2459105318766597,-0.1158,0.2813,0.4752
GBM,epigallocatechin-3-monogallate,26,-0.3717606837606837,-0.4613382547718261,-0.0403,0.264,0.8911
GBM,lenvatinib,31,-0.0412541588950047,-0.0791326153437307,-0.0417,0.2206,0.4851
GBM,bardoxolone methyl,25,0.3993846153846153,0.2877335102909394,-0.0956,0.2318,0.0297
GBM,IWP-2,21,0.1636363636363636,-0.0390064398014193,-0.0923,0.2553,0.1683
GBM,I-BRD9,21,-0.0909090909090909,-0.1647930741206545,-0.0876,0.3029,0.5644
GBM,VX-11e,21,-0.2914285714285714,-0.3873304082934072,-0.1171,0.2624,0.6832
GBM,ISOX,31,0.0087096774193548,-0.1014601564249512,-0.059,0.2454,0.4158
GBM,EPZ004777,21,-0.3651948051948052,-0.4846181358334473,-0.1383,0.2795,0.7525
GBM,BRD-K33199242,31,-0.0855011108329908,-0.1834066187010238,-0.1027,0.2196,0.4554
GBM,GSK4112,31,0.1607823377462209,0.0911786106777454,-0.0561,0.2612,0.2574
GBM,decitabine,31,0.0583929834603782,-0.0026336215215609,-0.0558,0.2494,0.3564
GBM,ML006,30,0.2960952293325025,0.2266747251694819,-0.0297,0.2371,0.099
GBM,MK-0752,30,-0.2697084620648095,-0.3466993344213902,-0.0855,0.2537,0.7327
GBM,Avagacestat,20,-0.4066165413533834,-0.5954175179225278,-0.1024,0.2787,0.8614
GBM,gefitinib,32,-0.0430351906158357,-0.081812615558292,-0.0991,0.2221,0.4554
